PONOT2020052379700HEINÄVESI                     HEINÄVESI                                             198811011FI1D1Etelä-Savo                    Södra Savolax                 090Heinävesi           Heinävesi           1
PONOT2020052386240PYHÄNKOSKI                    PYHÄNKOSKI                                            198601011FI1D6Pohjois-Pohjanmaa             Norra Österbotten             483Merijärvi           Merijärvi           1
PONOT2020052397390KIERINKI                      KIERINKI                                              198601011FI1D7Lappi                         Lappland                      758Sodankylä           Sodankylä           1
PONOT2020052300900HELSINKI                      HELSINGFORS                   HKI         HFORS       198810011FI1B1Helsinki-Uusimaa              Helsingfors-Nyland            091Helsinki            Helsingfors         2
PONOT2020052302760ESPOO                         ESBO                                                  199608291FI1B1Helsinki-Uusimaa              Helsingfors-Nyland            049Espoo               Esbo                2
PONOT2020052307590ASKOLA                        ASKOLA                                                201901011FI1B1Helsinki-Uusimaa              Helsingfors-Nyland            018Askola              Askola              1
PONOT2020052313720PAROLA                        PAROLA                                                198810011FI1C2Kanta-Häme                    Egentliga Tavastland          082Hattula             Hattula             1
PONOT2020052350350NOROLA                        NOROLA                                                198801011FI1D1Etelä-Savo                    Södra Savolax                 491Mikkeli             S:t Michel          1
PONOT2020052355700IMATRA                        IMATRA                                                198811011FI1C5Etelä-Karjala                 Södra Karelen                 153Imatra              Imatra              1
PONOT2020052356800SIMPELE                       SIMPELE                                               199703031FI1C5Etelä-Karjala                 Södra Karelen                 689Rautjärvi           Rautjärvi           1
PONOT2020052364260KASKINEN                      KASKÖ                                                 199706161FI195Pohjanmaa                     Österbotten                   231Kaskinen            Kaskö               2
PONOT2020052370101KUOPIO                        KUOPIO                                                198903132FI1D2Pohjois-Savo                  Norra Savolax                 297Kuopio              Kuopio              1
PONOT2020052374250NISSILÄ                       NISSILÄ                                               198601011FI1D2Pohjois-Savo                  Norra Savolax                 925Vieremä             Vieremä             1
PONOT2020052380130JOENSUU                       JOENSUU                       JS                      199610011FI1D3Pohjois-Karjala               Norra Karelen                 167Joensuu             Joensuu             1
PONOT2020052303220TERVALAMPI                    TERVALAMPI                                            198804051FI1B1Helsinki-Uusimaa              Helsingfors-Nyland            927Vihti               Vichtis             1
PONOT2020052307910VALKO                         VALKOM                                                198811011FI1B1Helsinki-Uusimaa              Helsingfors-Nyland            434Loviisa             Lovisa              2
PONOT2020052314610LEPAA                         LEPAA                                                 199904061FI1C2Kanta-Häme                    Egentliga Tavastland          082Hattula             Hattula             1
PONOT2020052315141LAHTI                         LAHTI                                                 199001012FI1C3Päijät-Häme                   Päijänne-Tavastland           398Lahti               Lahtis              1
PONOT2020052319650JOUTSA                        JOUTSA                                                198811011FI193Keski-Suomi                   Mellersta Finland             172Joutsa              Joutsa              1
PONOT2020052332560VIRTTAA                       VIRTTAA                                               199706231FI1C1Varsinais-Suomi               Egentliga Finland             430Loimaa              Loimaa              1
PONOT2020052335750VÄÄRINMAJA                    VÄÄRINMAJA                                            199603011FI197Pirkanmaa                     Birkaland                     702Ruovesi             Ruovesi             1
